Visitor,Vis.score,Home,Home.score
PHI,3,COL,4
LAN,6,NYN,0
SDN,6,PIT,10
ARI,2,SFN,1
OAK,6,ANA,8
DET,5,BAL,2
CHA,2,BOS,3
NYA,2,CLE,7
TOR,7,HOU,16
SEA,5,KCA,2
TEX,4,MIN,8
MIL,2,TBA,0
MIA,2,ATL,7
WAS,4,CHN,7
SLN,4,CIN,1
PHI,5,COL,8
LAN,7,NYN,4
SDN,5,PIT,2
ARI,4,SFN,5
OAK,5,ANA,0
DET,2,BAL,5
CHA,1,BOS,4
NYA,2,CLE,1
TOR,4,HOU,3
TEX,4,MIN,1
MIL,3,TBA,0
MIA,4,ATL,1
WAS,9,CHN,4
SLN,13,CIN,4
PHI,3,COL,2
LAN,8,NYN,0
SDN,4,PIT,5
ARI,3,SFN,6
OAK,11,ANA,10
DET,3,BAL,12
CHA,3,BOS,6
NYA,8,CLE,1
TOR,6,HOU,7
SEA,8,KCA,7
SEA,1,KCA,9
TEX,5,MIN,6
MIL,1,TBA,2
SDN,3,CIN,11
DET,0,PIT,3
CHN,5,SFN,3
MIA,2,WAS,3
BAL,6,ANA,2
SLN,11,KCA,3
MIL,4,MIN,5
LAN,3,ARI,6
PHI,5,ATL,2
SDN,7,CIN,3
TEX,4,NYN,5
DET,3,PIT,6
CHN,3,SFN,6
MIA,7,WAS,3
BAL,2,ANA,3
HOU,5,CHA,8
COL,1,CLE,4
SLN,10,KCA,3
MIL,4,MIN,11
SEA,7,OAK,6
BOS,2,TBA,0
NYA,2,TOR,4
LAN,3,ARI,2
PHI,3,ATL,2
SDN,3,CIN,8
MIN,4,MIL,0
TEX,5,NYN,1
CHN,1,SFN,3
KCA,5,SLN,8
MIA,1,WAS,10
BAL,1,ANA,5
HOU,1,CHA,7
COL,3,CLE,2
PIT,0,DET,10
SEA,6,OAK,3
BOS,8,TBA,2
NYA,11,TOR,5
LAN,8,ARI,6
SDN,3,CIN,10
MIN,7,MIL,2
NYN,10,PHI,0
KCA,6,SLN,8
MIA,2,WAS,3
HOU,2,CHA,3
PIT,7,DET,5
BAL,7,OAK,2
ANA,6,SEA,3
CLE,1,TBA,4
NYA,0,TOR,4
CHN,8,ARI,3
SDN,4,LAN,3
COL,3,MIA,6
CIN,11,MIL,10
NYN,7,PHI,6
ATL,5,SLN,8
KCA,3,CHA,6
MIN,9,DET,4
BOS,4,NYA,5
BAL,4,OAK,5
ANA,6,SEA,5
CLE,5,TBA,0
HOU,4,TEX,6
PIT,4,TOR,2
CHN,2,ARI,6
SDN,3,LAN,6
COL,3,MIA,4
CIN,5,MIL,6
NYN,1,PHI,3
ATL,5,SLN,6
SFN,1,WAS,3
KCA,5,CHA,4
MIN,11,DET,12
BOS,10,NYA,5
BAL,12,OAK,5
ANA,6,SEA,3
CLE,3,TBA,0
HOU,3,TEX,8
PIT,2,TOR,7
CHN,7,ARI,2
SDN,4,LAN,6
COL,3,MIA,5
CIN,4,MIL,7
NYN,6,PHI,2
ATL,6,SLN,3
SFN,4,WAS,2
SFN,2,WAS,6
KCA,14,CHA,6
MIN,6,DET,4
BOS,3,NYA,2
BAL,3,OAK,9
ANA,4,SEA,2
CLE,4,TBA,3
HOU,2,TEX,1
PIT,1,TOR,7
HOU,0,ARI,2
CIN,5,CHN,15
ATL,0,COL,3
SFN,3,MIA,8
PHI,4,SDN,7
CLE,7,BOS,3
NYN,2,NYA,4
KCA,6,OAK,2
BAL,11,SEA,3
DET,2,TEX,6
TBA,1,TOR,2
HOU,9,ARI,4
CIN,2,CHN,1
ATL,4,COL,3
CHA,1,LAN,6
SFN,9,MIA,4
PIT,1,MIL,3
PHI,4,SDN,8
ANA,1,WAS,3
SLN,4,BOS,10
CLE,8,MIN,1
NYN,4,NYA,5
KCA,8,OAK,10
BAL,1,SEA,3
DET,4,TEX,10
TBA,6,TOR,4
CIN,6,CHN,7
ATL,2,COL,17
CHA,4,LAN,5
SFN,1,MIA,8
PIT,6,MIL,7
NYA,5,NYN,3
PHI,0,SDN,3
ANA,3,WAS,2
SLN,4,BOS,5
ARI,5,HOU,9
KCA,7,OAK,6
BAL,6,SEA,7
DET,6,TEX,12
TBA,2,TOR,3
CIN,13,CHN,10
ATL,10,COL,4
NYA,7,NYN,5
SLN,11,PIT,7
WAS,2,SDN,1
PHI,4,SFN,5
ARI,4,HOU,0
CLE,9,MIN,3
CLE,2,MIN,4
CHA,8,TEX,9
TBA,3,TOR,5
CIN,5,ATL,3
TOR,4,CHN,7
MIL,4,COL,8
MIA,3,NYN,1
SLN,11,PIT,10
WAS,7,SDN,1
PHI,2,SFN,10
ANA,7,BAL,9
NYA,6,BOS,9
LAN,8,DET,5
OAK,1,HOU,3
CLE,10,KCA,1
ARI,3,MIN,10
SEA,7,TBA,1
CHA,4,TEX,3
CIN,11,ATL,8
TOR,3,CHN,4
MIL,6,COL,3
MIA,1,NYN,8
SLN,4,PIT,6
WAS,1,SDN,3
PHI,12,SFN,9
ANA,5,BAL,1
NYA,4,BOS,3
LAN,3,DET,0
OAK,0,HOU,3
CLE,5,KCA,0
ARI,0,MIN,5
SEA,7,TBA,6
CHA,7,TEX,17
CIN,1,ATL,8
TOR,5,CHN,6
MIL,8,COL,4
MIA,6,NYN,4
SLN,3,PIT,6
WAS,4,SDN,1
PHI,5,SFN,2
ANA,5,BAL,4
NYA,1,BOS,5
LAN,1,DET,6
OAK,3,HOU,2
CLE,4,KCA,7
ARI,5,MIN,12
SEA,0,TBA,3
CHA,3,TEX,2
SEA,6,ATL,5
ARI,3,NYN,2
LAN,6,PIT,5
MIL,0,SFN,2
TEX,5,ANA,3
OAK,3,BAL,7
MIN,6,CHA,7
MIN,10,CHA,2
BOS,4,CLE,5
SEA,0,ATL,4
CHN,13,CIN,9
ARI,7,NYN,4
MIA,12,PHI,8
MIA,7,PHI,4
LAN,8,PIT,5
MIL,4,SFN,3
SDN,12,SLN,4
TEX,1,ANA,10
OAK,6,BAL,4
MIN,4,CHA,1
BOS,9,CLE,1
NYA,13,DET,4
WAS,4,HOU,3
COL,2,KCA,3
TOR,5,TBA,6
SEA,9,ATL,6
CHN,9,CIN,3
ARI,2,NYN,4
MIA,0,PHI,8
LAN,0,PIT,1
MIL,2,SFN,4
SDN,2,SLN,6
TEX,7,ANA,5
OAK,7,BAL,8
MIN,3,CHA,4
BOS,6,CLE,1
NYA,10,DET,2
WAS,1,HOU,6
COL,4,KCA,6
TOR,7,TBA,6
CHN,2,CIN,4
ARI,3,NYN,2
MIA,9,PHI,8
LAN,5,PIT,2
SDN,4,SLN,3
TEX,3,ANA,0
MIN,1,CHA,5
BOS,6,CLE,13
NYA,6,DET,10
WAS,5,HOU,4
COL,3,KCA,2
TOR,0,TBA,2
SFN,3,ARI,4
COL,2,ATL,5
PIT,5,CIN,9
MIL,1,LAN,3
SDN,6,MIA,8
CHN,1,PHI,7
TBA,7,SLN,3
NYN,4,WAS,2
HOU,2,ANA,1
BAL,16,BOS,3
DET,2,CHA,3
KCA,0,CLE,4
SEA,2,NYA,1
TEX,1,OAK,3
MIN,6,TOR,1
SFN,1,ARI,2
COL,7,ATL,6
PIT,1,CIN,0
MIL,3,LAN,0
SDN,1,MIA,2
CHN,17,PHI,2
TBA,4,SLN,6
NYN,4,WAS,9
HOU,6,ANA,7
BAL,7,BOS,0
DET,6,CHA,3
KCA,0,CLE,4
SEA,3,NYA,6
TEX,3,OAK,8
MIN,9,TOR,10
SFN,0,ARI,11
COL,3,ATL,0
PIT,5,CIN,2
MIL,3,LAN,2
SDN,2,MIA,6
CHN,3,PHI,6
TBA,3,SLN,2
NYN,6,WAS,5
NYN,4,WAS,5
HOU,7,ANA,5
BAL,2,BOS,1
DET,1,CHA,7
KCA,0,CLE,12
SEA,1,NYA,10
TEX,3,OAK,8
MIN,7,TOR,2
PIT,1,CHN,6
DET,4,COL,3
ATL,1,PHI,6
SFN,3,SDN,0
MIA,2,WAS,11
OAK,1,ANA,3
SEA,6,BAL,7
TBA,12,KCA,0
CLE,6,NYA,2
BOS,6,TOR,5
LAN,6,ARI,7
PIT,1,CHN,4
NYN,4,CIN,14
DET,3,COL,7
SLN,10,MIL,2
SFN,3,SDN,6
MIA,3,WAS,8
OAK,2,ANA,8
SEA,0,BAL,4
TEX,12,HOU,2
TBA,2,KCA,6
CHA,4,MIN,6
BOS,3,TOR,0
LAN,4,ARI,6
PIT,3,CHN,17
NYN,2,CIN,0
DET,6,COL,2
SLN,5,MIL,6
ATL,9,PHI,1
ATL,5,PHI,2
SFN,0,SDN,5
MIA,0,WAS,4
OAK,8,ANA,10
SEA,7,BAL,8
TEX,8,HOU,1
TBA,5,KCA,3
CHA,1,MIN,11
CLE,2,NYA,1
CLE,9,NYA,4
BOS,7,TOR,1
LAN,1,ARI,8
ATL,2,CHN,6
NYN,2,CIN,7
PHI,3,MIA,2
WAS,3,MIL,6
SLN,5,SFN,2
TOR,11,BAL,8
TEX,1,HOU,5
CHA,4,MIN,5
BOS,2,NYA,6
ATL,0,CHN,2
ARI,9,COL,5
PHI,2,MIA,1
WAS,0,MIL,1
CIN,7,PIT,3
LAN,1,SDN,0
SLN,11,SFN,6
TOR,0,BAL,1
TBA,3,CHA,1
CLE,3,DET,2
CLE,10,DET,0
KCA,7,MIN,6
BOS,4,NYA,1
OAK,2,SEA,3
ANA,9,TEX,10
ATL,12,CHN,14
ARI,6,COL,2
PHI,9,MIA,10
WAS,3,MIL,2
CIN,0,PIT,5
LAN,5,SDN,6
LAN,2,SDN,7
SLN,1,SFN,2
TOR,7,BAL,2
TBA,4,CHA,5
CLE,5,DET,2
NYN,8,HOU,12
NYN,1,HOU,4
KCA,0,MIN,17
BOS,1,NYA,5
OAK,6,SEA,7
ANA,7,TEX,4
ATL,5,CHN,1
ARI,5,COL,1
PHI,3,MIA,1
WAS,2,MIL,7
CIN,1,PIT,3
LAN,4,SDN,6
SLN,7,SFN,3
TOR,4,BAL,5
TBA,2,CHA,6
CLE,11,DET,1
NYN,6,HOU,8
KCA,5,MIN,4
BOS,2,NYA,9
OAK,2,SEA,10
ANA,6,TEX,7
TEX,8,ATL,2
MIL,4,CIN,5
SFN,3,COL,4
ARI,13,LAN,0
WAS,7,MIA,2
PHI,7,NYN,11
CHN,0,PIT,12
SLN,2,SDN,0
NYA,7,BAL,4
TOR,10,BOS,4
CLE,5,CHA,3
KCA,7,DET,6
ANA,11,OAK,9
HOU,6,SEA,2
MIN,4,TBA,11
MIL,3,CIN,9
SFN,6,COL,9
ARI,3,LAN,1
WAS,2,MIA,1
PHI,9,NYN,1
CHN,3,PIT,4
SLN,8,SDN,4
NYA,6,BAL,7
TOR,2,BOS,3
CLE,9,CHA,4
KCA,2,DET,13
ANA,8,OAK,7
HOU,3,SEA,1
MIN,1,TBA,2
TEX,12,ATL,8
TEX,4,ATL,5
MIL,1,CIN,7
SFN,11,COL,3
ARI,3,LAN,1
WAS,8,MIA,1
PHI,3,NYN,6
CHN,1,PIT,0
SLN,3,SDN,1
TOR,1,BOS,6
CLE,5,CHA,1
KCA,13,DET,2
ANA,1,OAK,3
HOU,5,SEA,3
MIN,10,TBA,6
MIA,5,ATL,6
COL,9,LAN,1
CIN,2,NYN,7
CHN,8,PIT,2
SLN,0,SDN,3
PHI,3,WAS,4
NYA,9,BAL,1
CLE,11,CHA,2
MIN,4,KCA,2
SDN,10,ARI,6
MIA,7,ATL,1
MIL,2,CHN,0
COL,5,LAN,4
CIN,1,NYN,5
PIT,1,SLN,4
PHI,10,WAS,11
TBA,3,BOS,9
SFN,9,CHA,2
BAL,0,CLE,5
MIN,8,KCA,5
HOU,8,OAK,9
ANA,3,SEA,4
NYA,5,TEX,11
DET,5,TOR,4
SDN,8,ARI,7
MIA,5,ATL,6
MIL,15,CHN,2
COL,6,LAN,5
CIN,1,NYN,6
PIT,3,SLN,4
PHI,5,WAS,4
TBA,0,BOS,9
SFN,1,CHA,13
BAL,2,CLE,4
MIN,2,KCA,5
HOU,1,OAK,11
HOU,4,OAK,11
ANA,1,SEA,8
NYA,3,TEX,1
DET,4,TOR,5
SDN,2,ARI,3
MIA,8,ATL,10
MIL,3,CHN,1
COL,8,LAN,1
CIN,10,NYN,5
PIT,0,SLN,7
PHI,2,WAS,3
TBA,4,BOS,1
SFN,1,CHA,8
BAL,2,CLE,3
MIN,3,KCA,11
HOU,2,OAK,10
ANA,5,SEA,3
NYA,16,TEX,7
DET,2,TOR,8
COL,5,ARI,4
PIT,7,MIL,0
LAN,6,SFN,8
DET,0,CLE,11
CHA,11,KCA,3
NYA,5,TBA,1
SEA,3,TEX,5
BAL,3,TOR,4
COL,4,ARI,2
NYN,3,CHN,8
PIT,2,MIL,5
MIA,8,PHI,9
LAN,5,SFN,3
CIN,4,SLN,13
ATL,8,WAS,0
HOU,1,ANA,0
OAK,1,BOS,11
DET,0,CLE,2
CHA,3,KCA,4
SDN,0,MIN,16
NYA,1,TBA,2
SEA,10,TEX,3
BAL,2,TOR,3
COL,2,ARI,8
NYN,5,CHN,17
PIT,2,MIL,8
MIA,1,PHI,8
LAN,4,SFN,1
CIN,6,SLN,0
ATL,8,WAS,2
HOU,1,ANA,9
OAK,7,BOS,3
DET,3,CLE,5
CHA,5,KCA,3
SDN,1,MIN,3
NYA,3,TBA,2
SEA,8,TEX,1
BAL,2,TOR,1
COL,0,ARI,7
NYN,6,CHN,14
MIA,0,PHI,10
CIN,2,SLN,5
ATL,2,WAS,5
HOU,5,ANA,2
OAK,2,BOS,6
KCA,2,CLE,3
CHA,17,DET,7
TOR,2,MIN,3
BAL,5,NYA,13
SEA,10,TEX,4
NYN,2,ATL,3
SLN,2,CHN,8
PIT,2,CIN,4
SDN,1,COL,6
MIL,10,MIA,2
OAK,4,PHI,0
ARI,3,SFN,2
LAN,7,WAS,0
TEX,6,ANA,7
KCA,4,CLE,3
CHA,2,DET,3
SEA,2,HOU,5
TOR,4,MIN,3
BAL,2,NYA,8
BOS,13,TBA,6
NYN,7,ATL,3
SLN,1,CHN,4
PIT,1,CIN,2
SDN,0,COL,16
MIL,4,MIA,7
OAK,3,PHI,5
ARI,2,SFN,0
LAN,3,WAS,2
TEX,0,ANA,2
KCA,4,CLE,8
CHA,10,DET,4
SEA,6,HOU,8
TOR,7,MIN,2
BAL,3,NYA,9
BOS,3,TBA,1
NYN,5,ATL,1
SLN,3,CHN,4
PIT,2,CIN,5
SDN,4,COL,3
MIL,10,MIA,3
OAK,6,PHI,3
ARI,2,SFN,7
LAN,1,WAS,7
TEX,4,ANA,2
KCA,2,CLE,3
CHA,0,DET,12
SEA,1,HOU,7
TOR,7,MIN,13
BAL,6,NYA,4
BOS,2,TBA,3
NYN,1,MIA,13
LAN,3,PHI,4
MIL,3,PIT,0
ARI,2,SDN,4
BOS,10,BAL,8
OAK,8,DET,3
MIN,1,NYA,2
WAS,4,ATL,2
SLN,8,CIN,7
NYN,4,MIA,5
LAN,2,PHI,6
MIL,1,PIT,0
ARI,2,SDN,6
COL,3,SFN,4
CLE,6,ANA,3
BOS,1,BAL,0
OAK,9,DET,8
CHA,1,HOU,3
MIN,2,NYA,5
TEX,3,SEA,1
CHN,2,TBA,1
KCA,2,TOR,5
WAS,7,ATL,3
SLN,9,CIN,2
NYN,2,MIA,9
LAN,5,PHI,7
MIL,4,PIT,6
ARI,13,SDN,7
COL,0,SFN,4
CLE,6,ANA,5
BOS,9,BAL,0
OAK,3,DET,2
CHA,3,HOU,4
MIN,3,NYA,11
TEX,8,SEA,6
CHN,1,TBA,8
KCA,15,TOR,5
WAS,2,ATL,3
SLN,8,CIN,5
CHN,5,MIL,3
LAN,5,PHI,4
COL,0,SDN,3
CLE,4,ANA,1
TBA,1,BAL,3
MIN,12,DET,1
CHA,3,HOU,1
TEX,4,SEA,2
KCA,1,TOR,0
MIA,11,ARI,13
PHI,2,ATL,7
BOS,5,CIN,4
SFN,2,LAN,4
CHN,5,MIL,4
WAS,6,NYN,7
SLN,4,PIT,3
COL,4,SDN,1
TBA,8,BAL,3
KCA,6,CHA,7
MIN,7,DET,3
ANA,0,HOU,3
TEX,1,OAK,4
CLE,1,SEA,3
NYA,1,TOR,8
MIA,12,ARI,6
PHI,2,ATL,4
BOS,5,CIN,0
SFN,2,LAN,1
CHN,3,MIL,4
WAS,4,NYN,3
SLN,6,PIT,11
COL,0,SDN,5
TBA,9,BAL,6
KCA,8,CHA,2
MIN,10,DET,4
ANA,2,HOU,6
TEX,0,OAK,1
CLE,11,SEA,4
NYA,5,TOR,1
MIA,2,ARI,3
PHI,2,ATL,0
BOS,5,CIN,4
SFN,1,LAN,3
CHN,5,MIL,0
WAS,3,NYN,2
SLN,1,PIT,4
COL,8,SDN,4
TBA,4,BAL,9
KCA,1,CHA,8
MIN,10,DET,4
ANA,7,HOU,5
TEX,1,OAK,8
CLE,4,SEA,2
NYA,5,TOR,9
SFN,9,ARI,2
MIA,5,COL,4
SDN,3,LAN,9
ATL,9,NYN,2
ATL,2,NYN,3
WAS,3,PHI,1
CHN,10,SLN,2
TOR,6,BOS,4
ANA,2,CHA,4
KCA,3,NYA,11
SEA,7,OAK,1
HOU,11,TEX,2
SFN,4,ARI,11
MIA,0,COL,6
SDN,2,LAN,9
CIN,6,MIL,7
ATL,3,NYN,4
WAS,1,PHI,4
BAL,1,PIT,10
CHN,7,SLN,8
TOR,9,BOS,4
ANA,9,CHA,3
MIN,8,CLE,6
DET,1,KCA,2
TBA,1,NYA,6
SEA,6,OAK,3
HOU,14,TEX,3
SFN,3,ARI,4
MIA,9,COL,15
SDN,0,LAN,10
CIN,6,MIL,0
ATL,1,NYN,7
WAS,5,PHI,7
BAL,3,PIT,5
CHN,5,SLN,1
TOR,7,BOS,10
ANA,4,CHA,6
MIN,2,CLE,4
DET,4,KCA,7
TBA,1,NYA,6
SEA,5,OAK,6
HOU,12,TEX,2
ATL,1,MIA,7
CIN,3,MIL,4
CHN,2,SLN,1
PIT,4,WAS,5
HOU,12,BOS,2
ANA,4,CHA,5
MIN,2,CLE,5
DET,4,KCA,1
TBA,9,NYA,6
OAK,4,TEX,1
CIN,4,CHN,5
LAN,1,COL,9
ATL,5,MIA,6
NYN,2,PHI,6
SDN,0,SFN,8
MIL,5,SLN,3
PIT,1,WAS,6
SEA,5,ANA,6
HOU,3,BOS,2
CHA,1,CLE,10
ARI,1,KCA,2
DET,3,MIN,6
TOR,0,NYA,4
BAL,0,TBA,7
OAK,3,TEX,5
CIN,0,CHN,9
LAN,5,COL,3
ATL,2,MIA,10
NYN,7,PHI,4
SDN,3,SFN,2
MIL,6,SLN,7
PIT,4,WAS,1
SEA,6,ANA,4
HOU,3,BOS,6
CHA,2,CLE,1
ARI,3,KCA,4
DET,3,MIN,2
TOR,1,NYA,2
BAL,3,TBA,4
OAK,4,TEX,8
CIN,3,CHN,1
LAN,6,COL,3
ATL,8,MIA,5
NYN,0,PHI,11
SDN,4,SFN,5
MIL,6,SLN,1
PIT,11,WAS,8
SEA,2,ANA,6
HOU,4,BOS,3
CHA,1,CLE,3
ARI,14,KCA,2
DET,1,MIN,5
TOR,2,NYA,1
BAL,0,TBA,6
OAK,5,TEX,2
